id,type,title,author_1,author_2,author_3,author_4,author_5,author_6,author_7,author_8,author_9,author_10,book_editor_1,book_editor_2,book_editor_3,book_editor_4,book_editor_5,book_editor_6,book_editor_7,book_editor_8,book_editor_9,book_editor_10,in_book_title,book_publisher,book_publisher_place,pages,year,main_theme,secondary_theme,lang,link,doi,publication_country,search_term,rest
1142,Book Chapter,Bridging 4:7 with Secondary Teachers: Engaging Critical Scholarship in Education for Sustainable Development and Global Citizenship,"Pashby, K.","Sund, L.",,,,,,,,,,Global Citizenship,,,,,,,,,Teacher Education for Sustainable Development and Global Citizenship,Routledge,London,99-112,2019,"['training of trainers', 'Teacher education']",[],English,,http://doi.org/10.5040/9781350052369,,,
2339,Book Chapter,The Emergence of Global Education as a Distinctive Pedagogical Field,"Bourn, D.",,,,,,,,,,D. Bourn,,,,,,,,,,The Bloomsbury Handbook of Global Educationa and Learning,Bloomsbury Academic,London,11-22,2020,['Policy related research'],[],English,,http://doi.org/10.5040/9781350108769.0009,,,
2547,Book Chapter,The construction of Citizenship in Kazakhstan Between the Soviet Era and Globalization,"Seidikenova, A.","Akkari, A.","Bakitov, A.",,,,,,,,"A. Akkari,",K. Maleq,,,,,,,,,"Global Citizenship Education: Critical and International Perspectives,",Springer Nature,Cham,57-70,2020,['Policy related research'],[],English,https://link.springer.com/chapter/10.1007/978-3-030-44617-8_5,http://dx.doi.org/10.1007/978-3-030-44617-8_5,,,
304,Book Chapter,A Phenomenographic Study of Beginning Elementary Science Teachers’ Conceptions of Sustainability,"Hagevik, R.","Jordan, C.","Wimert, D.",,,,,,,,"Stratton, S. K.","Hagevik, R.","Feldman, A.","Bloom, M.",,,,,,,Educating Science Teachers for Sustainability,Springer,"Cham, Switzerland",17-29,2015,"['training of trainers', 'Teacher education']",[],English,,http://dx.doi.org/10.1007/978-3-319-16411-3_2,,,
350,Book Chapter,Future generations: developing education for sustainability and global citizenship for university education students,"Watkins, P.","Glover, A.",,,,,,,,,W. L. Filho,P. Pace,,,,,,,,,Teaching Education for Sustainable Development at University Level,Springer,Cham,67-81,2016,['Higher education research'],[],English,,http://dx.doi.org/10.1007/978-3-319-32928-4_5,,,
347,Book Chapter,Writing the self for reconciliation and global citizenship: The inner dialogue and creative voices for cultural healing,"Lengelle, R.","Jardine, C.","Bonnar, C.",,,,,,,,F. Meijers,H. Hermans,,,,,,,,,The Dialogical Self Theory in Education,Springer,Cham,81-96,2018,['Higher education research'],[],English,,http://dx.doi.org/10.1007/978-3-319-62861-5_6,,,
348,Book Chapter,Teaching and Learning for Citizenship in a Postapartheid South African University Classroom: An Interpretive Interlude,"Waghid, Y.",,,,,,,,,,"P. Smeyers, D. Bridges, N. C. Burbules,",M. Griffiths,,,,,,,,,International Handbook of Interpretation in Educational Research,Springer,Dordrecht,1055-1075,2015,['Higher education research'],[],English,,http://dx.doi.org/10.1007/978-94-017-9282-0_52,,,
134,Book Chapter,Global Perspectives on Global Citizenship,"Landorf, H.","Feldman, E.",,,,,,,,,"Reynolds, R.","Bradbery, D.","Brown, J.","Carroll, K.","Donnelly, D.","Ferguson-Patrick, K.","Macqueen, S.",,,,Contesting and constructing international perspectives in global education,Sense Publishers,Rotterdam,43-52,2015,"['conceptual publications', 'Theoretical']",[],English,,http://dx.doi.org/10.1007/978-94-6209-989-0_4,,,
37,Book Chapter,The Neglect of Politics and Power Analysis in Development Education,"Liddy, M.",,,,,,,,,,"Reynolds, R.","Bradbery, D.","Brown, J.","Carroll, K.","Donnelly, D.","Ferguson-Patrick, K.","Macqueen, S.",,,,Contesting and constructing international perspectives in global education,Sense Publishers,Rotterdam,77-87,2015,['Policy related research'],[],English,,http://dx.doi.org/10.1007/978-94-6209-989-0_7,,,
422,Book Chapter,North-South Partnerships in Canadian Higher Education,"Larkin, A.",,,,,,,,,,"Abdi, A. A.","Shultz, L.","Pillay T.,",,,,,,,,Decolonizing global citizenship education,Sense Publishers,Rotterdam,141-155,2015,"['educational partnerships', 'International Volunteering, study visits']",[],English,,http://dx.doi.org/10.1007/978-94-6300-277-6_12,,,
132,Book Chapter,Solidarity Movements and Decolonization,"Chovanec, D. M.","Gordon, N.","Underwood, M.","Butt, S.","Díaz, R. S.",,,,,,"Abdi, A. A.","Shultz, L.","Pillay, T.",,,,,,,,Decolonizing global citizenship education,Sense Publishers,Rotterdam,157-172,2015,"['conceptual publications', 'Theoretical']",[],English,,http://dx.doi.org/10.1007/978-94-6300-277-6_13,,,
127,Book Chapter,Global citizenship education otherwise: pedagogical and theoretical insights,"Andreotti, V.",,,,,,,,,,"Abdi, A. A.","Shultz, L.","Pillay, T.",,,,,,,,Decolonizing global citizenship education,Sense Publishers,Rotterdam,221-230,2015,"['conceptual publications', 'Theoretical']",[],English,,http://dx.doi.org/10.1007/978-94-6300-277-6_18,,,
126,Book Chapter,Decolonizing global citizenship education,"Abdi, A. A.",,,,,,,,,,"Abdi, A. A.","Shultz, L.","Pillay, T.",,,,,,,,Decolonizing global citizenship education,Sense Publishers,Rotterdam,11-26,2015,"['conceptual publications', 'Theoretical']",[],English,,http://dx.doi.org/10.1007/978-94-6300-277-6_2,,,
142,Book Chapter,"Ubuntu, indigeneity, and an ethic for decolonizing global citizenship","Swanson, D. M.",,,,,,,,,,"Abdi, A. A.","Shultz, L.","Pillay, T.",,,,,,,,Decolonizing global citizenship education,Sense Publishers,Rotterdam,27-38,2015,"['conceptual publications', 'Theoretical']",[],English,,http://dx.doi.org/10.1007/978-94-6300-277-6_3,,,
420,Book Chapter,"Volunteer tourism and nonelite young subjects: Local, global, and situated","Judge, R. C.",,,,,,,,,,"Skelton, T.","Worth, N.","Dwyer, C.",,,,,,,,Identities and Subjectivities,Springer,Singapore,249-268,2018,"['educational partnerships', 'International Volunteering, study visits']",[],English,,http://dx.doi.org/10.1007/978-981-287-023-0_11,,,
339,Book Chapter,Decolonization and higher education,"Andreotti, V.","Stein, S.",,,,,,,,,M. A. Peters,,,,,,,,,,Encyclopedia of Educational Philosophy and Theory,Springer,Singapore,370-375,2017,['Higher education research'],[],English,,http://dx.doi.org/10.1007/978-981-287-532-7_479-1,,,
140,Book Chapter,Global Citizenship and Development: From Benevolence to Global Justice,"Smith, M. B.",,,,,,,,,,J. Grugel,D. Hammett,,,,,,,,,The Palgrave Handbook of International Development,Palgrave Macmillan,London,99-117,2016,"['conceptual publications', 'Theoretical']",[],English,,http://dx.doi.org/10.1057/978-1-137-42724-3_6,,,
141,Book Chapter,Postcolonial insights for engaging difference in educational approaches to social justice and citizenship,"Stein, S.","Andreotti, V.",,,,,,,,,"Peterson, A.","Hattam, R.","Zembylas, M.","Arthur, J.",,,,,,,The Palgrave international handbook of education for citizenship and social justice,Palgrave Macmillan,London,229-245,2017,"['conceptual publications', 'Theoretical']",[],English,,http://dx.doi.org/10.1057/978-1-137-51507-0_11,,,
423,Book Chapter,Decolonizing and Delinking North-South Higher Education Partnerships: Imagining Possibilities for Global Social Justice,"Larkin, A.",,,,,,,,,,L. Shultz,M. Viczko,,,,,,,,,Assembling and Governing the Higher Education Institution,Palgrave Macmillan,London,215-232,2016,"['educational partnerships', 'International Volunteering, study visits']",[],English,,http://dx.doi.org/10.1057/978-1-137-52261-0_12,,,
345,Book Chapter,"Ethical Internationalization, Neo-liberal Restructuring and “Beating the Bounds” of Higher Education","Khoo, S.-m.","Taylor, L. K.","Andreotti, V.",,,,,,,,L. Shultz,M. Viczko,,,,,,,,,"Assembling and Governing the Higher Education Institution: Democracy, social justice and leadership in global higher education",Palgrave Macmillan,London,85-110,2016,['Higher education research'],[],English,,http://dx.doi.org/10.1057/978-1-137-52261-0_6,,,
138,Book Chapter,Justice and Global Citizenship Education,"Sant, E.","Lewis, S.","Delgado, S.","Ross, E. W.",,,,,,,"Davies, I.","Ho, L.","Kiwan, D.","Peck, C. L.","Peterson, A.","Sant, E.","Waghid, Y.",,,,The Palgrave Handbook of Global Citizenship and Education,Palgrave Macmillan,London,227-243,2017,"['conceptual publications', 'Theoretical']",[],English,,http://dx.doi.org/10.1057/978-1-137-59733-5_15,,,
135,Book Chapter,"Identity, Belonging and Diversity in Education for Global Citizenship: Multiplying, Intersecting, Transforming, and Engaging Lived Realities","Pashby, K.",,,,,,,,,,"Davies, I.","Ho, L.","Kiwan, D.","Peck, C. L.","Peterson, A.","Sant, E.","Waghid, Y.",,,,The Palgrave Handbook of Global Citizenship and Education,Palgrave Macmillan,London,277-293,2018,"['conceptual publications', 'Theoretical']",[],English,,http://dx.doi.org/10.1057/978-1-137-59733-5_18,,,
137,Book Chapter,Migration and Implications for Global Citizenship Education: Tensions and Perspectives,"Quaynor, L.","Murillo, A.",,,,,,,,,"In Davies, I.","Ho, L.","Kiwan, D.","Peck, C. L.","Peterson, A.","Sant, E.","Waghid, Y.",,,,The Palgrave Handbook of Global Citizenship and Education,Palgrave Macmillan,London,425-438,2018,"['conceptual publications', 'Theoretical']",[],English,,http://dx.doi.org/10.1057/978-1-137-59733-5_27,,,
38,Book Chapter,Global Citizenship Education in North America,"Peck, C. L.","Pashby, K.",,,,,,,,,"Davies, I.","Ho, L.","Kiwan, D.","Peck, C. L.","Peterson, A.","Sant, E.","Waghid, Y.",,,,The Palgrave Handbook of Global Citizenship and Education,Palgrave Macmillan,London,51-65,2018,['Policy related research'],[],English,,http://dx.doi.org/10.1057/978-1-137-59733-5_4,,,
39,Book Chapter,Global Citizenship Education in Latin America,"Sant, E.","González Valencia, G.",,,,,,,,,"Davies, I.","Ho, L.","Kiwan, D.","Peck, C. L.","Peterson, A.","Sant, E.","Waghid, Y.",,,,The Palgrave Handbook of Global Citizenship and Education,Palgrave Macmillan,London,67-82,2018,['Policy related research'],[],English,,http://dx.doi.org/10.1057/978-1-137-59733-5_5,,,
349,Book Chapter,Global Citizenship Education: A Southern African Perspective,"Waghid, Y.",,,,,,,,,,"Davies, I.","Ho, L.","Kiwan, D.","Peck, C. L.","Peterson, A.","Sant, E.","Waghid, Y.",,,,The Palgrave Handbook of Global Citizenship and Education,Palgrave Macmillan,London,97-109,2018,['Higher education research'],[],English,,http://dx.doi.org/10.1057/978-1-137-59733-5_7,,,
419,Book Chapter,"Emotion, Volunteer-Tourism and Marginalised Youth","Judge, R. C.",,,,,,,,,,M. Blazek,P. Kraftl,,,,,,,,,Children’s Emotions in Policy and Practice: Mapping and Making Spaces of Childhood,Palgrave Macmillan,London,157-173,2015,"['educational partnerships', 'International Volunteering, study visits']",[],English,,http://dx.doi.org/10.1057/9781137415608_10,,,
341,Book Chapter,Educating Global Citizens through International Partnerships for Social Justice,"Bell, K.",,,,,,,,,,P. Blessinger,B. Cozza,,,,,,,,,University Partnerships for International Development,Emerald Publishing,"Bingley, UK",19-36,2016,['Higher education research'],[],English,,http://dx.doi.org/10.1108/S2055-364120160000008002,,,
